"report_namePKO";"hostilityGov_None";"hostilityGov_VerbalRestrictions";"hostilityGov_PhysicalRestrictions";"hostilityGov_ViolentRestrictions";"hostilityOther_None";"hostilityOther_VerbalRestrictions";"hostilityOther_PhysicalRestrictions";"hostilityOther_ViolentRestrictions";"abuseAllegations";"abuseInvestigation";"sexualViolenceAllegation";"sexualViolenceInvestigation";"DDRprogress"
"1";"UNMOP_S/2000/1251";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"2";"UNMOP_S/2002/1341";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"3";"UNMOP_S/2002/1101";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"4";"UNMOP_S/2002/1";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"5";"UNMOP_S/2001/661";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"6";"UNMOP_S/2001/350";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"7";"UNMOP_S/2000/976";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"8";"UNMOP_S/2000/647";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"9";"UNMOP_S/2000/305";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"10";"UNMOP_S/2002/1101_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"11";"UNMOP_S/2002/1101_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"12";"UNMOP_S/2002/713";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"13";"UNMOP_S/2002/713_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"14";"UNMOP_S/2002/713_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"15";"UNMOP_S/2002/1_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"16";"UNMOP_S/2002/1_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"17";"UNMOP_S/2001/661_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"18";"UNMOP_S/2001/661_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"19";"UNMOP_S/2001/350_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"20";"UNMOP_S/2001/350_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"21";"UNMOP_S/2000/1251_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"22";"UNMOP_S/2000/1251_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"23";"UNMOP_S/2000/976_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"24";"UNMOP_S/2000/976_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"25";"UNMOP_S/2000/647_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"26";"UNMOP_S/2000/647_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"27";"UNMOP_S/2000/305_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"28";"UNMOP_S/2000/305_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"29";"UNMOP_S/1999/1302_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"30";"UNMOP_S/1999/1302_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"31";"UNMOP_S/1999/1051_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"32";"UNMOP_S/1999/1051_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"33";"UNMOP_S/1999/764_Yugoslavia";"False";"True";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"34";"UNMOP_S/1999/764_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"35";"UNMOP_S/1999/404_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"36";"UNMOP_S/1999/404_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"37";"UNMOP_S/1999/16";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"38";"UNMOP_S/1999/16_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"39";"UNMOP_S/1999/16_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"40";"UNMOP_S/1998/939_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"41";"UNMOP_S/1998/939_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"42";"UNMOP_S/1998/578_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"43";"UNMOP_S/1998/578_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"44";"UNMOP_S/1997/1019_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"45";"UNMOP_S/1997/1019_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"46";"UNMOP_S/1997/506";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"47";"UNMOP_S/1997/506_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"48";"UNMOP_S/1997/506_Croatia";"False";"True";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"49";"UNMOP_S/1997/311_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"50";"UNMOP_S/1997/311_Croatia";"False";"True";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"51";"UNMOP_S/1996/1075_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"52";"UNMOP_S/1996/1075_Croatia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"53";"UNMOP_S/1996/502_Yugoslavia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"54";"UNMOP_S/1996/502_Croatia";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"55";"UNMOP_S/1996/180_Yugoslavia";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"56";"UNMOP_S/1996/180_Croatia";"True";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"57";"UNTAES_S/1998/59";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"58";"UNTAES_S/1997/953";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"59";"UNTAES_S/1997/767";"False";"True";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"60";"UNTAES_S/1997/487";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"61";"UNTAES_S/1997/148";"True";"False";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"NO_INFO"
"62";"UNTAES_S/1996/883";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"63";"UNTAES_S/1996/821";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"64";"UNTAES_S/1996/705";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"65";"UNTAES_S/1996/622";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"66";"UNTAES_S/1996/472";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"67";"UNPSG_S/1998/887";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"68";"UNPSG_S/1998/500";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"69";"UNMOP_S/1996/180";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"70";"UNMIBH_S/2002/1314";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"71";"UNMIBH_S/2002/618";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"72";"UNMIBH_S/2001/1132";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"73";"UNMIBH_S/2001/571";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"74";"UNMIBH_S/2000/1137";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"75";"UNMIBH_S/2000/529";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"76";"UNMIBH_S/2000/215";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"77";"UNMIBH_S/1999/1260";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"78";"UNMIBH_S/1999/989";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"79";"UNMIBH_S/1999/670";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"80";"UNMIBH_S/1999/284";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"81";"UNMIBH_S/1998/1174";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"82";"UNMIBH_S/1998/862";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"83";"UNMIBH_S/1998/491";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"84";"UNMIBH_S/1997/966";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"85";"UNMIBH_S/1998/227";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"86";"UNMIBH_S/1997/649";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"87";"UNMIBH_S/1997/468";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"88";"UNMIBH_S/1997/224";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"89";"UNMIBH_S/1996/1017";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"90";"UNMIBH_S/1996/820";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"91";"UNMIBH_S/1996/460";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"92";"UNMIBH_S/1996/210";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"93";"UNOMIG_S/2009/254";"False";"False";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"94";"UNOMIG_S/2009/69";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"95";"UNOMIG_S/2008/631";"True";"False";"False";"False";"False";"True";"True";"True";"False";"False";"False";"False";"NO_INFO"
"96";"UNOMIG_S/2008/480";"False";"False";"False";"True";"False";"True";"True";"False";"False";"False";"False";"False";"NO_INFO"
"97";"UNOMIG_S/2008/219";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
