"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4-5",NA,NA,NA,NA
"academicWriteR","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.1","academicWriteR","jvcasillas","HEAD","84a8ff643f7030ffba098aef2b1df4c94776a44e"
"arrow","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","7.0.0",NA,NA,NA,NA
"askpass","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1",NA,NA,NA,NA
"assertthat","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.1",NA,NA,NA,NA
"backports","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.1",NA,NA,NA,NA
"base64enc","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1-3",NA,NA,NA,NA
"bayestestR","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.11.5",NA,NA,NA,NA
"binman","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.2",NA,NA,NA,NA
"bit","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","4.0.5",NA,NA,NA,NA
"bit64","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","4.0.5",NA,NA,NA,NA
"bitops","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0-7",NA,NA,NA,NA
"blob","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.2",NA,NA,NA,NA
"brew","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0-8",NA,NA,NA,NA
"brio","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.3",NA,NA,NA,NA
"broom","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.7.12",NA,NA,NA,NA
"broom.mixed","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.9.4",NA,NA,NA,NA
"bslib","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,NA,NA,NA
"cachem","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.8",NA,NA,NA,NA
"callr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.7.0",NA,NA,NA,NA
"carData","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.0-5",NA,NA,NA,NA
"caTools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.18.2",NA,NA,NA,NA
"cellranger","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.0",NA,NA,NA,NA
"classInt","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4-3",NA,NA,NA,NA
"cli","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.6.1",NA,NA,NA,NA
"clipr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.8.0",NA,NA,NA,NA
"coda","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.19-4",NA,NA,NA,NA
"colorspace","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1-0",NA,NA,NA,NA
"commonmark","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.9.0",NA,NA,NA,NA
"conflicted","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,NA
"cpp11","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.3",NA,NA,NA,NA
"crayon","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.5.2",NA,NA,NA,NA
"credentials","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.2",NA,NA,NA,NA
"crosstalk","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0.9000","crosstalk","rstudio","HEAD","d754a218de73f2c9c31342dadcb3a1b1400de1d0"
"crul","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3",NA,NA,NA,NA
"curl","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","5.0.0",NA,NA,NA,NA
"data.table","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.14.8",NA,NA,NA,NA
"datawizard","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.7.1",NA,NA,NA,NA
"DBI","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.3",NA,NA,NA,NA
"dbplyr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.1",NA,NA,NA,NA
"desc","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.2",NA,NA,NA,NA
"devtools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.4.3",NA,NA,NA,NA
"diffobj","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.5",NA,NA,NA,NA
"digest","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.6.33",NA,NA,NA,NA
"dplyr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.8",NA,NA,NA,NA
"DT","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.28",NA,NA,NA,NA
"dtplyr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.1",NA,NA,NA,NA
"e1071","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7-13",NA,NA,NA,NA
"ellipsis","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.2",NA,NA,NA,NA
"evaluate","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.21",NA,NA,NA,NA
